City ,03/02/2020,03/03/2020,03/04/2020,03/05/2020,03/06/2020,03/07/2020,03/08/2020,03/09/2020,03/10/2020,03/11/2020,03/12/2020,03/13/2020,03/14/2020,03/15/2020,03/16/2020,03/17/2020,03/18/2020,03/19/2020,03/20/2020,03/21/2020,03/22/2020,03/23/2020,03/24/2020,03/25/2020,03/26/2020,03/27/2020,03/28/2020,03/29/2020,03/30/2020,03/31/2020,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/2020,04/15/2020,04/16/2020,04/17/2020,04/18/2020,04/19/2020,04/20/2020,04/21/2020,04/22/2020,04/23/2020,04/24/2020,04/25/2020,04/26/2020,04/27/2020,04/28/2020,04/29/2020,04/30/2020,05/01/2020,05/02/2020,05/03/2020,05/04/2020,05/05/2020,05/06/2020,05/07/2020,05/08/2020,05/09/2020,05/10/2020,05/11/2020,05/12/2020,05/13/2020,05/14/2020,05/15/2020,05/16/2020,05/17/2020,05/18/2020,05/19/2020,05/20/2020,05/21/2020,05/22/2020,05/23/2020,05/24/2020,05/25/2020,05/26/2020,05/27/2020,05/28/2020,05/29/2020,05/30/2020,05/31/2020,06/01/2020,06/02/2020,06/03/2020,06/04/2020,06/05/2020,06/06/2020,06/07/2020,06/08/2020,06/09/2020,06/10/2020,06/11/2020,06/12/2020,06/13/2020,06/14/2020,06/15/2020,06/16/2020,06/17/2020,06/18/2020,06/19/2020,06/20/2020,06/21/2020,06/22/2020,06/23/2020,06/24/2020,06/25/2020,06/26/2020,06/27/2020,06/28/2020,06/29/2020,06/30/2020,07/01/2020,07/02/2020,07/03/2020,07/04/2020,07/05/2020,07/06/2020,07/07/2020,07/08/2020,07/09/2020,07/10/2020,07/11/2020,07/12/2020,07/13/2020,07/14/2020,07/15/2020,07/16/2020,07/17/2020,07/18/2020,07/19/2020,07/20/2020,07/21/2020,07/22/2020,07/23/2020,07/24/2020,07/25/2020,07/26/2020,07/27/2020,07/28/2020,07/29/2020,07/30/2020,07/31/2020,08/01/2020,08/02/2020,08/03/2020,08/04/2020,08/05/2020
Hafar Al Batin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,1,0,0,0,15,2,16,6,6,0,8,1,0,4,2,1,11,0,1,1,0,0,0,0,2,1,0,0,6,0,0,0,7,26,24,28,28,8,31,54,29,16,30,34,15,7,30,51,58,8,3,67,45,20,79,25,52,37,59,92,81,32,32,66,75,306,92,35,50,64,84,26,85,93,73,62,56,87,58,65,44,73,24
Ras Tanura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,1,0,0,1,0,0,6,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,10,3,9,7,0,13,7,2,2,8,3,3,1,0,5,1,2,0,0,0,0,0,17,15,6,0,0,1,1,1,0,32,9,2,11,6,0,7,1,1,0,0,44,57,7,0,5,0,3,8,5,44,33,24,10,7,0,22,39,30,25,10,21,27,19,29,19,29,8,11,6,11,14,17,10,12,12,8,7,15,3,7
Abha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,23,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,2,0,0,4,1,1,1,1,0,8,7,2,0,11,3,3,0,2,0,5,3,3,1,2,5,1,2,3,13,0,7,10,23,11,46,45,31,41,28,39,2,13,19,121,35,106,62,60,29,41,30,30,192,74,62,7,5,208,290,296,167,50,85,115,202,161,74,17,40,11,51,14,248,80,51,9,14,21,7,14,14
Yanbu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,26,0,0,0,0,4,0,0,7,1,4,35,11,29,27,41,37,26,19,6,6,2,12,16,0,10,15,10,10,5,0,8,6,0,5,2,4,20,10,16,7,6,11,25,10,11,7,27,26,6,26,33,8,30,22,13,43,16,12,23,23,0,9,15,9,10,1,18,11,16,11,21,32,18,62,29,36,12,34,39,36,25,47,18,30,23,49,18,47,52,21,17,23,22
Safwa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,111,8,7,0,13,5,2,0,0,0,2,0,0,0,0,2,4,3,6,1,1,0,0,5,0,0,19,2,12,1,15,2,6,7,0,1,1,17,3,13,1,8,4,82,12,35,102,66,39,21,45,1,33,134,55,65,10,41,42,81,40,54,21,3,5,11,28,6,12,13,11,9,7,5,7,7,1
Jazan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,4,3,9,3,8,5,1,0,49,0,2,0,62,3,10,6,0,9,2,18,16,0,23,3,28,6,11,0,26,10,1,0,0,0,0,0,30,22,11,20,0,1,41,35,30,46,24,2,48,32,33,12,36,87,0,40,12,20,2,34
Najran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,1,0,1,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0,1,0,1,1,0,6,4,5,0,2,4,0,3,3,26,4,21,15,11,6,9,3,28,2,12,19,24,21,18,33,30,42,38,30,0,0,75,1,122,50,46,10,3,51,44,37,15,59,36,43,69,76,66,61,36,34,70,58,91,69,26,44,25,53,37,68,77,48,45,54,24,32,35,44
Ahad Rufaidah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,8,1,0,0,0,0,1,4,0,0,0,2,0,2,6,2,0,6,1,29,7,28,10,2,4,5,8,0,0,1,22,15,21,16,30,14,4,4,1,58,28,7,0,45,97,73,52,36,11,16,31,9,5,21,45,11,10,25,43,34,19,38,22,23,15,6,1,9
Hottah Bani Tamem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,2,1,0,3,0,5,3,0,4,1,4,2,1,0,0,1,0,5,0,0,0,6,8,13,1,0,1,7,4,11,16,19,1,41,16,6,0,2,1,0,0,0,2,1,13,8,7,15,2,3,5,2,9,9,9,10,5,15,18,14,8,3,2,2,12,5,6,4,3,6,4,7,12,5,7,2
Al Oyoun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3,1,8,2,1,0,7,23,3,4,2,19,64,19,1,5,16,13,3,13,9,8,5,5,2,3,8,3,4,9,7,29,4,16,11,6,5,7,6,8,14,6,6,4,5,2,5,3,4,3,11,2,6,15,3,5,3
